,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
1951,1951,F31367,5930.0,E,4.0,2020-03-03 09:46:41.000,2020-03-03,2020-02-21 00:00:00,2020-05-07,,20700.0,0.0,0.0
1980,1980,F31396,941.0,E,4.0,2020-03-04 10:46:05.000,2020-03-04,2020-03-04 00:00:00,2020-04-03,,2376.05,0.0,0.0
2130,2130,F31546,3930.0,E,4.0,2020-03-19 10:01:53.000,2020-03-19,2020-03-12 00:00:00,2020-04-18,,25725.000000000004,0.0,0.0
2132,2132,F31548,941.0,E,4.0,2020-03-19 10:42:24.000,2020-03-19,2020-03-19 00:00:00,2020-04-18,,4164.0,0.0,0.0
2160,2160,F31576,941.0,E,4.0,2020-03-20 17:35:14.000,2020-03-20,2020-03-20 00:00:00,2020-04-19,,4722.1,0.0,0.0
2162,2162,F31578,5930.0,E,4.0,2020-03-23 10:25:10.000,2020-03-23,2020-02-25 00:00:00,2020-05-27,,3750.0,0.0,0.0
2193,2193,F31609,3930.0,E,4.0,2020-03-25 10:54:51.000,2020-03-25,2020-03-20 00:00:00,2020-04-24,,25725.000000000004,0.0,0.0
2221,2221,F31637,6823.0,E,4.0,2020-03-27 13:51:35.000,2020-03-27,2020-03-24 00:00:00,2020-03-27,,600.0,0.0,0.0
2242,2242,F31658,8081.0,C,4.0,2020-03-31 11:51:35.000,2020-03-31,2020-03-31 00:00:00,2020-03-31,2020-03-31,383.00000000000006,0.0,0.0
2252,2252,F31668,6155.0,E,4.0,2020-03-31 14:33:21.000,2020-03-31,2020-03-31 00:00:00,2020-03-31,,400.00000000000006,0.0,0.0
2253,2253,F31669,6426.0,E,4.0,2020-03-31 14:40:41.000,2020-03-31,2020-03-31 00:00:00,2020-03-31,,5600.000000000001,0.0,0.0
2254,2254,F31670,6426.0,E,4.0,2020-03-31 14:50:12.000,2020-03-31,2020-03-31 00:00:00,2020-03-31,,3450.0,0.0,0.0
2283,2283,F31699,8015.0,E,4.0,2020-04-02 12:01:01.000,2020-04-02,2020-04-02 00:00:00,2020-04-02,,400.00000000000006,0.0,0.0
2285,2285,F31701,3930.0,E,4.0,2020-04-02 12:32:28.000,2020-04-02,2020-03-30 00:00:00,2020-05-02,,25725.000000000004,0.0,0.0
2287,2287,F31703,8016.0,E,4.0,2020-04-02 13:11:13.000,2020-04-02,2020-04-02 00:00:00,2020-04-02,,120.0,0.0,0.0
2288,2288,F31704,6297.0,E,4.0,2020-04-02 13:21:34.000,2020-04-02,2020-03-26 00:00:00,2020-04-02,,3500.0,0.0,0.0
2292,2292,F31708,6426.0,E,4.0,2020-04-02 16:53:43.000,2020-04-02,2020-03-31 00:00:00,2020-04-02,,5600.000000000001,0.0,0.0
